CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37670,Duarte,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Echeveste 2000,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Echeveste Norte,0,0,0,0,0,0,0,0,0,0,1/2025
37490,Ecológico de León (Piel),0,0,0,0,2,0,0,0,0,0,1/2025
37547,El Álamo,4,2,0,0,2,0,0,0,0,0,1/2025
37670,El Alto de las Carreras,0,0,0,0,0,0,0,0,0,0,1/2025
37217,El Árbol,0,0,0,0,0,0,0,0,0,0,1/2025
37357,El Cacerío,0,0,0,0,0,0,0,0,0,0,1/2025
37125,El Campanario,0,0,0,0,0,0,0,0,0,0,1/2025
37698,El Capulín,0,0,0,0,0,0,0,0,0,0,1/2025
37299,El Carmen,0,0,0,0,0,0,0,0,0,0,1/2025
37296,El Carmen (C.T.M.),0,0,0,0,0,0,0,0,0,0,1/2025
37209,El Castillo,0,0,0,0,0,0,0,0,0,0,1/2025
37688,El CERESO,0,0,0,0,0,0,0,0,0,0,1/2025
37209,El Chepinque,0,0,0,0,0,0,0,0,0,0,1/2025
37295,El Cid,0,0,0,0,0,0,0,0,0,0,1/2025
37669,El Cielo Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37260,El Coecillo,0,2,0,0,6,0,0,0,0,0,1/2025
37218,El Condado Plus,0,0,0,0,0,0,0,0,0,0,1/2025
37207,El Consuelo,0,0,0,0,0,0,0,0,0,0,1/2025
37250,El Cortijo,0,2,0,0,2,0,0,0,0,0,1/2025
37209,El Cuarenteño,0,0,0,0,0,0,0,0,0,0,1/2025
37685,El Cuije,0,0,0,0,0,0,0,0,0,0,1/2025
37650,El Derramadero,0,0,0,0,0,0,0,0,0,0,1/2025
37590,El Dorado,0,2,0,0,0,0,0,0,0,0,1/2025
37590,El Dorado II,0,0,0,0,0,0,0,0,0,0,1/2025
37320,El Duraznal,0,0,0,0,0,0,0,0,0,0,1/2025
37544,El Encanto,0,0,0,0,0,0,0,0,0,0,1/2025
37353,El Faro,2,0,0,0,0,0,0,0,0,0,1/2025
37550,El Granjeno,0,0,0,0,0,0,0,0,0,0,1/2025
37570,El Guajito,0,0,0,0,0,0,0,0,0,0,1/2025
