CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha,Periodo
37667,Estancia de Vaqueros,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37266,Estrella,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37260,Ex Hacienda la Morena I,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37260,Ex Hacienda la Morena II,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37288,Eyupol,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37360,Fátima,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37179,Fincas Sayavedra,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37350,Flores Magón,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37189,Ford del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37548,Foresta Jardín,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37500,Fracción del Coecillo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,Fracción del Granjeno,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37490,Fraccionamiento Industrial la Pompa,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37208,Fracciones de Echeveste (pro),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37490,Fracciones de Hacienda La Pompa,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37530,Fracciones de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37564,Fracciones de los Arcos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37148,Fracciones de Los Gómez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,Fracciones de Mesa Medina,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37477,Fracciones de San Nicolás,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37566,Fracciones de Santa Lucía,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37287,Fracciones del Crespo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37438,Fracciones del Guaje,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37170,Fracciones del Palote,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37290,Fracciones del Predio Santa Julia de Jerez,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37125,Fracciones del Rosario,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37289,Fracciones San Pedro,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37020,Francisco Lozornio,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Frutales de la Hacienda,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Fuentes del Valle,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
